
Alcoholic beverages
Product	Protein	Fats	Carbs	kcal
Brandy	0	0	1	225
Vermouth	0	0	15.9	155
Wine for women	0	0	0	66
Semi-dry wine	0.3	0	2.5	78
Dessert wine	0.5	0	20	175
Semi-sweet wine	0.2	0	5	88
Table wine	0.2	0	0.2	67
Whiskey	0	0	0	222
Vodka	0	0	0.1	234
Gin	0	0	0	223
Cognac	0	0	0.1	240
Liqueur	0	0	53	344
Beer 3.0%	0.6	0	3.5	37
Beer 4.5%	0.8	0	4.5	45
Dark beer	0.2	0	4	39
Port wine	0	0	13.8	167
Rum	0	0	0	217
Champagne	0.3	0	5.2	88
Non-alcoholic beverages
Product	Protein	Fats	Carbs	kcal
Apricot juice	0.9	0.2	9.2	39
Pineapple juice	0.2	0.2	11.4	48
Orange juice	0.9	0.1	8.4	36
Grape juice	0.3	0	14.5	56
Cherry juice	0.5	0	10.6	49
Pomegranate juice	0.2	0	14	58
Cocoa with milk	2.4	17	33.1	37.7
Bread kvass	0.2	0	5	26
Cola	0	0	10	40
Coffee with milk	0.8	1	11	56
Lemonade	0	0	6.1	24
Lemon juice	1	0.1	3.2	18
Carrot juice	1	0.1	6.5	31
Peach juice	0.8	0.1	9.1	37
Non-alcoholic beer	0	0	4.1	22
Green tea	0	0	0	0
Pepsi	0	0	7	28
Latte McDonald's Large	13	13	20	250
Black tea with condensed milk (2 tsp)	2.4	2.9	19.1	112
Energy drink	0	0	11.4	47
Apple juice	0.5	0.4	9.7	42
Porridge
Product	Protein	Fats	Carbs	kcal
Buckwheat porridge	4.5	1.6	27.4	137
Corn flakes	6.5	2.9	83.8	372
Semolina porridge	2.5	0.3	16.4	77
Oatmeal porridge	3.2	1.8	15.4	93
Oat flakes	11.9	7.5	69.1	358
Pearl barley porridge	3.2	0.5	22.7	102
Millet porridge	3	0.8	17.2	92
Rice porridge	1.5	0.2	17.3	79
Barley porridge	1.4	0.3	18.7	84
Barley flakes	9.1	3.2	79.7	345
Chia seeds	16.5	30.7	42.1	486
Mushrooms
Product	Protein	Fats	Carbs	kcal
Fresh porcini	3.3	1.5	2.4	32
Dried porcini	23.8	6.8	30.2	277
Fresh oyster mushrooms	2.5	0.5	6.2	34
Fresh chanterelles	1.5	1	2.4	22
Dried chanterelles	22	7.2	25.4	268
Fresh slippery jacks	2.5	0.7	1.5	12
Fresh honey fungus	2.4	1	2.5	25
Fresh brown birch bolete	2.1	1.2	3.4	30
Dried brown birch bolete	23.3	9.5	14.4	231
Fresh orange-cap boletus	3.3	0.4	3.5	31
Dried orange-cap boletus	35.2	5.4	33	325
Fresh saffron milk cap	1.9	0.7	2.3	16
Fresh russula	1.6	0.8	1.7	15
Fresh champignons	4.3	0.9	1.4	29
Caviar
Product	Protein	Fats	Carbs	kcal
Chum salmon granular caviar	31.6	13.7	0	250
Bream caviar	24.6	4.9	0	144
Pollock caviar	28.3	1.8	0	127
Sturgeon granular caviar	28.3	9.6	0	201
Sturgeon pressed caviar	36.3	10.1	0	235
Butter, margarine, fats
Product	Protein	Fats	Carbs	kcal
Chicken fat	0	99.7	0	896
Rendered pork fat	0	99.5	0	882
Butter margarine	0.5	82.3	0	746
Dairy table margarine	0.5	82	0.9	744
Mayonnaise 67%	3.3	67	2.4	624
Flaxseed oil	0	99.8	0	898
Olive oil	0	99.8	0	898
Sunflower oil	0	99.9	0	899
Butter 82.5%	0.5	82.5	1	747
Ghee	0.4	98.1	0.5	885
Dairy products
Product	Protein	Fats	Carbs	kcal
Yogurt 1.6% "Molokiya White thick"	4	1.6	4.7	49
Yogurt 3.2%	5	3.2	8.9	87
Yogurt "Mulltr"	4	4.4	17	127
Yogurt "Dolce" strawberry	2.25	2.5	12.6	82
Kefir 0%	2.8	0	3.8	29
Kefir 1%	2.8	1	4	37
Kefir 2.5%	3	2.5	4	51
Kefir 3.2%	3.2	3.2	4.1	57
Milk 0%	2.8	0	4.6	34
Milk 1%	2.8	1	4.6	38.6
Milk 2.5%	2.8	2.5	4.6	52.1
Milk 3.2%	3	3.2	4.7	60
Raw goat milk	3.1	4.2	4.7	69
Raw cow milk	3.2	3.6	4.7	64
Skimmed milk	2.1	0.1	4.5	27.3
Whole milk powder	25.2	25	39.6	477
Condensed milk	7.3	7.7	9.7	137.3
Sour milk 3.2%	2.9	3.2	4	56.4
Ryazhenka 2.5%	2.9	2.5	4.1	50.5
Ryazhenka 4.0%	2.9	4	4.1	64
Cream 10%	2.8	10	4.1	117.6
Cream 20%	2.8	20	3.9	206.8
Sour cream 10%	3	10	2.9	113.6
Sour cream 15%	3	15	2.9	158.6
Sour cream 20%	3	20	2.9	203.6
Sour cream 30%	3	30	2.9	293.6
Curd cheese bars	7.3	23	27.6	344
Dutch cheese	26.4	26.5	0	344.1
Mozzarella cheese (soft)	18	19	1	247
Russian cheese	24.1	29.8	0.4	366
Suluguni cheese	20	24.2	0	293
Fatty cottage cheese	14	18	1.9	236
Processed cheese Polish	10	27	3	295
